recipe_id,ingredient_id,quantity_per_serving,unit
52768,1,175g/6oz,
52768,2,75g/3oz,
52768,3,200g/7oz,
52768,4,75g/3oz,
52768,5,75g/3oz,
52768,6,2,
52768,7,75g/3oz,
52768,8,1 tsp,
52768,9,50g/1¾oz,
52893,10,120g,
52893,5,60g,
52893,2,60g,
52893,11,300g,
52893,2,30g,
52893,12,30g,
52893,13,120g,
52893,14,¼ teaspoon,
52893,15,to serve,
53049,16,200ml,
53049,17,60ml,
53049,18,2,
53049,19,1600g,
53049,20,3 tsp,
53049,21,1/2 tsp,
53049,22,25g,
53049,23,45g,
53049,24,3 tbs,
53050,25,6,
53050,26,16,
53050,27,1 1/2,
53050,28,6,
53050,29,8,
53050,30,2 tbs,
53050,31,1 1/2,
53050,32,1 1/2,
53050,33,1 1/2,
53050,34,2 tbs,
53050,35,1 can,
53050,23,1 tsp,
53050,36,1 cup,
52767,10,175g/6oz,
52767,37,75g/2½oz,
52767,38,2-3 tbsp,
52767,39,1 tbsp,
52767,2,125g/4½oz,
52767,5,125g/4½oz,
52767,7,125g/4½oz,
52767,40,1,
52767,8,½ tsp,
52767,9,50g/1¾oz,
52792,2,25g/1oz,
52792,41,8 thin slices,
52792,42,50g/2oz,
52792,14,2 tsp,
52792,16,350ml/12fl,
52792,43,50ml/2fl oz,
52792,18,2 free-range,
52792,23,25g/1oz,
52792,44,"grated, to taste",
52803,45,400g,
52803,46,1-2tbsp,
52803,47,Dash,
52803,48,750g piece,
52803,49,6-8 slices,
52803,50,500g,
52803,19,Dusting,
52803,51,2 Beaten,
52807,52,1 large,
52807,53,½ cup,
52807,54,1 cup,
52807,55,6 cloves,
52807,56,1,
52807,57,¼ teaspoon,
52807,17,1.5 tablespoon,
52807,58,1 tablespoon chopped,
52807,21,as required,
52812,59,4-5 pound,
52812,21,Dash,
52812,53,3,
52812,55,5 cloves,
52812,60,1 Sprig,
52812,61,1 sprig,
52812,62,4,
52812,63,2 cups,
52812,64,3 Large,
52812,65,1 Tbsp,
52812,66,4 Mashed,
52824,67,8 slices,
52824,68,12 florets,
52824,66,1 Packet,
52824,64,1 Packet,
52824,10,140g,
52824,18,4,
52824,16,200ml,
52824,69,drizzle (for cooking),
52826,67,1kg,
52826,70,3,
52826,55,4 cloves,
52826,47,Dash,
52826,71,300g,
52826,31,2 tsp,
52826,72,2 tsp,
52826,73,1 tsp,
52826,74,1 large,
52826,62,3,
52826,75,2 tsp dried,
52826,76,2 ancho,
52826,77,3 tbsp,
52826,78,2 x 400g,
52826,79,2 tbsp,
52826,80,2 tbsp,
52826,81,2 x 400g tins,
52834,47,1 tbls,
52834,70,1,
52834,55,1 clove,
52834,2,1 tbsp,
52834,45,250g,
52834,48,500g,
52834,10,1tbsp,
52834,82,150g,
52834,46,1 tbsp,
52834,63,100ml,
52834,83,Topping,
52842,84,2 tblsp,
